lu,week,mob,dLeq,city_dLeq,rel_noise,rel_noise_s
commercial,2020-09-07,0.9824523293694811,2.0021882005610148,2.337023330789392,-0.3348351302283774,-0.3520104116632972
commercial,2020-09-14,1.0081621689563283,1.1841399975442688,1.5467537000813412,-0.36261370253707237,-0.3305699365317139
commercial,2020-09-21,1.0176486235391797,1.1443896442946266,1.4573574087530001,-0.3129677644583735,-0.3770100418423638
commercial,2020-09-28,0.8807636822026964,-0.05147686654510134,0.44614670360053055,-0.4976235701456319,-0.4051812620900282
commercial,2020-10-05,0.9989714476361313,0.5211772023072975,0.9686972135263324,-0.44752001121903495,-0.3896421037238454
commercial,2020-10-12,1.032800521549553,0.7229288982982119,1.0233859673705532,-0.30045706907234127,-0.414690699949833
commercial,2020-10-19,1.029485199537736,0.7050103370294704,1.1181724863917941,-0.41316214936232376,-0.37986257023789927
commercial,2020-10-26,1.0260988190679436,1.0179669177601152,1.3762779690580123,-0.3583110512978971,-0.3496289207247385
commercial,2020-11-02,1.0267836773290047,1.9691426757100134,2.2957280888764053,-0.3265854131663919,-0.36402031633555504
commercial,2020-11-09,1.0254171791020845,1.2305371869122346,1.5885598384278419,-0.3580226515156073,-0.3593282900857586
commercial,2020-11-16,0.9600396317500111,1.3169334550491925,1.7113274994123306,-0.3943940443631382,-0.33852537669664806
commercial,2020-11-23,0.9996028978697966,1.487193229599446,1.762292627340901,-0.27509939774145487,-0.3073480147847024
commercial,2020-11-30,0.9917430261306722,1.6222053651948538,1.8240813307134631,-0.2018759655186093,-0.2433801053457661
commercial,2020-12-07,1.0030585705766175,1.279176976174235,1.3813279899340971,-0.10215101375986202,-0.1373984696080593
commercial,2020-12-14,0.9908405499599842,2.3575917225441962,2.328059223956507,0.029532498587689027,-0.12079613955358781
commercial,2020-12-21,0.9369892884551101,1.0240118758615249,1.2327019533850938,-0.20869007752356894,-0.1065781152996288
commercial,2020-12-28,0.90354285996452,1.4465036804824154,1.5915075489851886,-0.14500386850277325,-0.05948537549601596
commercial,2021-01-04,0.9597239758944212,1.9463784223953984,1.860158476940809,0.08621994545458933,-0.055022420114576365
commercial,2021-01-11,0.9767774449426547,1.475572723027317,1.4281884029138696,0.0473843201134474,0.024389984540298337
commercial,2021-01-18,1.0241306516841386,1.9857357386992598,1.87677619760333,0.10895954109592987,0.07545094532431146
commercial,2021-01-25,0.9905614319806382,1.2595503223567945,1.2003103477235153,0.059239974633279235,0.045989946094807055
commercial,2021-02-01,0.9803900639961799,0.8574042109871791,0.8890282624506074,-0.03162405146342828,0.03137167853876043
commercial,2021-02-08,0.9002531985216662,-0.15546974792549936,-0.14438099781476027,-0.011088750110739093,0.01931487303266332
commercial,2021-02-15,1.0191929900876175,1.26038959196191,1.1996572728903685,0.06073231907154142,0.03280878742264683
commercial,2021-02-22,1.0464390970614341,0.5592015622385572,0.4459859300453439,0.11321563219321329,0.05021348764323081
commercial,2021-03-01,1.0042586537465357,0.3108736072874465,0.2728788578685389,0.037994749418907625,0.05498597342272523
commercial,2021-03-08,1.0168099345881714,0.13140989772262546,0.12340870471538687,0.008001193007238588,-0.014117095311783893
