serial,lat,lon,adm_cd,lu
V02Q1940496,37.538775645,127.059760733,11200670,commercial
V02Q1940744,37.544751429,127.053111792,11200690,commercial
V02Q1940511,37.552655082,127.029032211,11200590,residential
V02Q1940632,37.564964319,127.03447479,11200535,mixed
V02Q1940580,37.56518716,127.05111116,11200790,commercial
V02Q1940761,37.564052441,127.044424399,11200540,mixed
V02Q1940565,37.541950115,127.053612431,11200670,commercial
V02Q1940501,37.552003424,127.036324364,11200580,residential
V02Q1940709,37.569445214,127.0446016,11200540,mixed
V02Q1940286,37.562166194,127.026682312,11200520,residential
V02Q1940530,37.542144186,127.047751758,11200650,commercial
V02Q1940743,37.536409649,127.056387019,11200670,commercial
V02Q1940748,37.537369863,127.050872231,11200670,commercial
V02Q1940786,37.542101542,127.049671321,11200650,commercial
V02Q1940202,37.560119378,127.079537928,11215740,mixed
V02Q1940280,37.561975588,127.085032552,11215750,residential
V02Q1940200,37.56868612,127.08018012,11215760,mixed
V02Q1940209,37.559024868,127.090120711,11215770,mixed
V02Q1940305,37.553149621,127.080543809,11215780,commercial
V02Q1940327,37.542256532,127.08511357,11215850,residential
V02Q1940294,37.548160591,127.089682707,11215860,residential
V02Q1940392,37.538286643,127.09239683,11215870,commercial
V02Q1940371,37.546677593,127.103453692,11215810,mixed
V02Q1940403,37.534309074,127.081985567,11215820,mixed
V02Q1940391,37.528616803,127.085121222,11215830,mixed
V02Q1940393,37.533488262,127.073006117,11215840,mixed
V02Q1940383,37.533285662,127.065647463,11215847,commercial
V02Q1940204,37.546696348,127.072036473,11215710,commercial
V02Q1940134,37.555797885,127.075819699,11215730,commercial
V02Q1940411,37.533878243,127.091521,11215870,commercial
V02Q1940387,37.540054044,127.070979283,11215710,commercial
V02Q1940416,37.547805223,127.086413575,11215860,residential
V02Q1940888,37.563073533,127.081994745,11215740,mixed
V02Q1940860,37.533442403,127.080963254,11215820,mixed
V02Q1940506,37.535029673,127.093240689,11215870,commercial
V02Q1940779,37.54460929,127.0961067,11215810,mixed
V02Q1940815,37.52986155,127.0704949,11215840,mixed
V02Q1940812,37.53093689,127.0661195,11215847,commercial
V02Q1940084,37.57837517,127.062435444,11230570,mixed
V02Q1940118,37.582389091,127.031492377,11230545,commercial
V02Q1940122,37.585745992,127.047911727,11230705,commercial
